brand,model,year,km_driven,fuel_type,transmission,owner_type,mileage_kmpl,engine_cc,power_bhp,seats,location,selling_price_lakhs
Hyundai,Verna,2022,43243,Diesel,Manual,First,13.1,1498,107.8,4.0,Bangalore,8.18
BMW,5 Series,2013,122099,Petrol,Automatic,Second,18.3,796,40.9,4.0,Ahmedabad,3.8
Audi,A4,2022,44977,Diesel,Manual,Fourth & Above,14.0,1498,98.4,7.0,Jaipur,28.11
Toyota,Fortuner,2016,119041,Petrol,Manual,First,16.4,1197,78.7,5.0,Kolkata,4.2
Hyundai,i20,2011,170587,Petrol,Automatic,Second,12.7,2494,161.2,5.0,Mumbai,1.93
Mahindra,Scorpio,2020,50994,Petrol,Automatic,First,9.3,2996,204.9,5.0,Kolkata,11.21
Maruti,Baleno,2016,108578,CNG,Automatic,First,11.2,2996,204.5,5.0,Delhi,7.44
Toyota,Glanza,2012,153713,Electric,Automatic,Second,19.5,796,50.0,5.0,Kolkata,4.25
Maruti,Swift,2011,166086,CNG,Manual,First,16.8,1197,82.3,7.0,Chennai,0.86
Mahindra,XUV300,2018,94799,Petrol,Manual,First,13.8,796,54.5,4.0,Delhi,4.57
Honda,City,2012,156410,Diesel,Manual,First,12.6,1248,84.5,7.0,Hyderabad,1.21
Hyundai,i20,2010,175484,Petrol,Manual,First,13.7,2494,168.7,5.0,Delhi,1.34
Maruti,Dzire,2013,136585,Petrol,Manual,Second,18.3,1248,83.0,6.0,Delhi,1.21
Mahindra,XUV500,2013,143073,Diesel,Automatic,First,14.9,1197,76.2,7.0,Chennai,3.08
Hyundai,i20,2015,135978,Petrol,Manual,First,13.8,2494,171.5,5.0,Kolkata,4.66
Toyota,Fortuner,2008,188104,Petrol,Automatic,Third,9.4,2996,200.3,5.0,Kolkata,0.8
Ford,Endeavour,2024,26535,Petrol,Automatic,Second,16.1,796,62.4,5.0,Bangalore,9.26
Hyundai,i10,2011,168395,Petrol,Manual,Second,18.3,796,56.2,5.0,Lucknow,1.13
Hyundai,Verna,2015,126005,Diesel,Automatic,First,13.9,1197,87.2,4.0,Delhi,4.89
Audi,A6,2021,59849,CNG,Manual,First,9.1,2494,162.0,7.0,Lucknow,22.22
Hyundai,i20,2017,104080,CNG,Manual,Second,10.9,2494,166.6,7.0,Lucknow,4.02
Mahindra,XUV500,2016,97588,Diesel,Manual,First,11.0,2996,199.9,5.0,Kolkata,7.12
Mahindra,XUV500,2015,121546,Diesel,Automatic,Third,11.2,2996,197.3,5.0,Kolkata,6.16
Toyota,Innova,2024,34483,Petrol,Automatic,First,15.8,1248,83.0,6.0,Pune,12.73
Maruti,Ertiga,2022,27798,Diesel,Manual,First,16.8,796,46.5,5.0,Mumbai,4.61
Hyundai,i20,2016,107445,Diesel,Manual,Third,16.0,796,46.8,7.0,Mumbai,2.54
Mahindra,Bolero,2012,152100,Diesel,Manual,First,19.7,998,70.0,5.0,Bangalore,1.4
Honda,City,2017,99468,CNG,Automatic,First,21.1,796,62.7,5.0,Ahmedabad,5.25
BMW,5 Series,2024,13724,CNG,Manual,Second,15.4,1498,103.3,5.0,Mumbai,31.34
BMW,5 Series,2018,88882,Petrol,Manual,First,12.2,2494,165.2,6.0,Mumbai,14.99
Maruti,Baleno,2016,116502,Petrol,Manual,First,17.7,796,42.0,5.0,Lucknow,2.77
Toyota,Glanza,2023,45422,Petrol,Manual,Second,15.5,796,49.9,5.0,Kolkata,7.57
Honda,City,2020,62709,CNG,Manual,First,17.5,1248,92.8,5.0,Jaipur,6.83
Hyundai,i10,2011,159406,CNG,Automatic,First,13.0,2494,175.3,7.0,Pune,3.7
Tata,Tiago,2019,73231,CNG,Automatic,First,15.5,1498,102.1,7.0,Lucknow,5.62
Ford,EcoSport,2014,134487,Electric,Automatic,First,18.6,1197,75.8,5.0,Bangalore,5.73
Hyundai,i20,2015,109435,Petrol,Manual,Second,10.3,2996,186.9,6.0,Jaipur,5.08
Audi,A4,2022,50748,CNG,Manual,Fourth & Above,14.3,796,64.4,5.0,Pune,27.85
Honda,City,2010,168995,CNG,Manual,First,14.5,1498,95.7,5.0,Lucknow,0.8
Hyundai,i20,2012,148837,Electric,Automatic,Second,11.8,1498,95.4,7.0,Delhi,5.54
Mahindra,Scorpio,2012,144146,Diesel,Manual,Third,12.4,2996,205.6,7.0,Mumbai,2.43
Maruti,WagonR,2024,24739,Diesel,Manual,First,,1498,99.9,5.0,Delhi,7.46
BMW,5 Series,2024,27692,Petrol,Manual,First,9.8,2996,199.7,5.0,Chennai,32.09
Ford,Figo,2019,72493,Diesel,Automatic,First,18.1,2494,169.5,5.0,Jaipur,9.83
Maruti,Ertiga,2009,184844,Petrol,Manual,First,15.4,1997,137.5,5.0,Bangalore,0.8
Toyota,Innova,2012,151748,Diesel,Manual,Third,12.7,998,58.9,5.0,Delhi,0.8
Toyota,Glanza,2022,36735,Petrol,Manual,First,16.6,1248,86.9,5.0,Hyderabad,9.14
Tata,Tiago,2012,153143,Petrol,Manual,First,13.9,998,60.4,,Hyderabad,0.8
Honda,Amaze,2022,50810,Diesel,Manual,First,15.2,796,54.0,5.0,Delhi,7.28
Volkswagen,Vento,2021,58201,Petrol,Automatic,First,11.4,2494,181.7,5.0,Lucknow,11.39
Honda,Jazz,2022,35509,Petrol,Automatic,First,14.7,998,,5.0,Kolkata,8.74
Honda,Amaze,2010,188184,Diesel,Manual,Second,17.5,796,43.0,5.0,Hyderabad,0.8
Volkswagen,Vento,2009,184108,Petrol,Manual,First,13.5,1997,132.1,7.0,Jaipur,0.8
